"DATE","TIME PERIOD","Job vacancy rate (JVS.Q.I9._Z.N.JVR.K._T._T)"
"2010-12-31","2010Q4","1.3"
"2011-03-31","2011Q1","1.2"
"2011-06-30","2011Q2","1.1"
"2011-09-30","2011Q3","1.0"
"2011-12-31","2011Q4","1.2"
"2012-03-31","2012Q1","1.2"
"2012-06-30","2012Q2","1.1"
"2012-09-30","2012Q3","1.0"
"2012-12-31","2012Q4","1.0"
"2013-03-31","2013Q1","0.9"
"2013-06-30","2013Q2","1.0"
"2013-09-30","2013Q3","1.0"
"2013-12-31","2013Q4","1.0"
"2014-03-31","2014Q1","1.1"
"2014-06-30","2014Q2","1.0"
"2014-09-30","2014Q3","1.2"
"2014-12-31","2014Q4","1.3"
"2015-03-31","2015Q1","1.1"
"2015-06-30","2015Q2","1.2"
"2015-09-30","2015Q3","1.2"
"2015-12-31","2015Q4","1.1"
"2016-03-31","2016Q1","1.3"
"2016-06-30","2016Q2","1.1"
"2016-09-30","2016Q3","1.0"
"2016-12-31","2016Q4","1.2"
"2017-03-31","2017Q1","1.1"
"2017-06-30","2017Q2","1.2"
"2017-09-30","2017Q3","1.3"
"2017-12-31","2017Q4","1.4"
"2018-03-31","2018Q1","1.5"
"2018-06-30","2018Q2","1.4"
"2018-09-30","2018Q3","1.4"
"2018-12-31","2018Q4","1.6"
"2019-03-31","2019Q1","1.6"
"2019-06-30","2019Q2","1.5"
"2019-09-30","2019Q3","1.5"
"2019-12-31","2019Q4","1.5"
"2020-03-31","2020Q1","1.6"
"2020-06-30","2020Q2","1.4"
"2020-09-30","2020Q3","1.4"
"2020-12-31","2020Q4","1.4"
"2021-03-31","2021Q1","1.7"
"2021-06-30","2021Q2","1.6"
"2021-09-30","2021Q3","1.8"
"2021-12-31","2021Q4","2.1"
"2022-03-31","2022Q1","2.4"
"2022-06-30","2022Q2","2.1"
"2022-09-30","2022Q3","2.1"
"2022-12-31","2022Q4","2.1"
"2023-03-31","2023Q1","2.1"
"2023-06-30","2023Q2","2.1"
"2023-09-30","2023Q3","2.2"
"2023-12-31","2023Q4","2.2"
"2024-03-31","2024Q1","2.1"
"2024-06-30","2024Q2","2.0"
